date,event_name,page_path,event_count,users
2026-01-01,page_view,/,162,107
2026-01-01,scroll,/,60,49
2026-01-01,whatsapp_click,/,1,1
2026-01-01,page_view,/services/business-website,123,105
2026-01-01,scroll,/services/business-website,58,44
2026-01-01,page_view,/services/ecommerce-store,44,35
2026-01-01,scroll,/services/ecommerce-store,21,17
2026-01-01,page_view,/services/seo-digital-marketing,42,36
2026-01-01,scroll,/services/seo-digital-marketing,19,14
2026-01-01,page_view,/services/school-management-system,35,28
2026-01-01,scroll,/services/school-management-system,21,15
2026-01-01,page_view,/services/law-firm-management-system,22,19
2026-01-01,scroll,/services/law-firm-management-system,13,9
2026-01-01,page_view,/portfolio,33,29
2026-01-01,scroll,/portfolio,20,14
2026-01-01,page_view,/blog/website-cost-nepal,32,25
2026-01-01,scroll,/blog/website-cost-nepal,19,15
2026-01-01,page_view,/contact,22,17
2026-01-01,scroll,/contact,6,3
2026-01-01,page_view,/about,6,4
2026-01-01,scroll,/about,2,1
2026-01-02,page_view,/,146,93
2026-01-02,scroll,/,80,47
2026-01-02,page_view,/services/business-website,106,78
2026-01-02,scroll,/services/business-website,62,49
2026-01-02,page_view,/services/ecommerce-store,92,60
2026-01-02,scroll,/services/ecommerce-store,50,32
2026-01-02,whatsapp_click,/services/ecommerce-store,1,1
2026-01-02,page_view,/services/seo-digital-marketing,58,37
2026-01-02,scroll,/services/seo-digital-marketing,19,13
2026-01-02,page_view,/services/school-management-system,45,26
2026-01-02,scroll,/services/school-management-system,18,13
2026-01-02,page_view,/services/law-firm-management-system,28,16
2026-01-02,scroll,/services/law-firm-management-system,17,11
2026-01-02,page_view,/portfolio,41,24
2026-01-02,scroll,/portfolio,24,16
2026-01-02,page_view,/blog/website-cost-nepal,41,36
2026-01-02,scroll,/blog/website-cost-nepal,23,19
2026-01-02,page_view,/contact,27,17
2026-01-02,scroll,/contact,9,6
2026-01-02,page_view,/about,13,10
2026-01-02,scroll,/about,4,3
2026-01-03,page_view,/,90,69
2026-01-03,scroll,/,35,26
2026-01-03,page_view,/services/business-website,94,66
2026-01-03,scroll,/services/business-website,32,24
2026-01-03,page_view,/services/ecommerce-store,38,26
2026-01-03,scroll,/services/ecommerce-store,23,17
2026-01-03,page_view,/services/seo-digital-marketing,62,36
2026-01-03,scroll,/services/seo-digital-marketing,25,19
2026-01-03,page_view,/services/school-management-system,38,32
2026-01-03,scroll,/services/school-management-system,23,17
2026-01-03,page_view,/services/law-firm-management-system,31,19
2026-01-03,scroll,/services/law-firm-management-system,19,14
2026-01-03,page_view,/portfolio,33,27
2026-01-03,scroll,/portfolio,21,15
2026-01-03,page_view,/blog/website-cost-nepal,24,16
2026-01-03,scroll,/blog/website-cost-nepal,13,8
2026-01-03,page_view,/contact,16,12
2026-01-03,scroll,/contact,8,5
2026-01-03,page_view,/about,6,4
2026-01-03,scroll,/about,2,1
2026-01-04,page_view,/,110,97
2026-01-04,scroll,/,61,50
2026-01-04,form_submit,/,1,1
2026-01-04,whatsapp_click,/,1,1
2026-01-04,page_view,/services/business-website,54,46
2026-01-04,scroll,/services/business-website,19,14
2026-01-04,page_view,/services/ecommerce-store,57,37
2026-01-04,scroll,/services/ecommerce-store,34,24
2026-01-04,page_view,/services/seo-digital-marketing,48,28
2026-01-04,scroll,/services/seo-digital-marketing,21,15
2026-01-04,page_view,/services/school-management-system,35,25
2026-01-04,scroll,/services/school-management-system,19,16
2026-01-04,page_view,/services/law-firm-management-system,18,11
2026-01-04,scroll,/services/law-firm-management-system,10,5
2026-01-04,page_view,/portfolio,26,14
2026-01-04,scroll,/portfolio,16,13
2026-01-04,page_view,/blog/website-cost-nepal,19,10
2026-01-04,scroll,/blog/website-cost-nepal,8,6
2026-01-04,page_view,/contact,19,15
2026-01-04,scroll,/contact,5,4
2026-01-04,page_view,/about,8,6
2026-01-04,scroll,/about,2,1
2026-01-05,page_view,/,156,120
2026-01-05,scroll,/,82,49
2026-01-05,whatsapp_click,/,1,1
2026-01-05,page_view,/services/business-website,96,55
2026-01-05,scroll,/services/business-website,53,45
2026-01-05,page_view,/services/ecommerce-store,108,77
2026-01-05,scroll,/services/ecommerce-store,48,28
2026-01-05,form_submit,/services/ecommerce-store,1,1
2026-01-05,whatsapp_click,/services/ecommerce-store,1,1
2026-01-05,page_view,/services/seo-digital-marketing,87,52
2026-01-05,scroll,/services/seo-digital-marketing,40,27
2026-01-05,page_view,/services/school-management-system,38,29
2026-01-05,scroll,/services/school-management-system,21,18
2026-01-05,page_view,/services/law-firm-management-system,35,30
2026-01-05,scroll,/services/law-firm-management-system,18,11
2026-01-05,page_view,/portfolio,56,37
2026-01-05,scroll,/portfolio,27,16
2026-01-05,page_view,/blog/website-cost-nepal,48,40
2026-01-05,scroll,/blog/website-cost-nepal,29,24
2026-01-05,page_view,/contact,17,11
2026-01-05,scroll,/contact,6,4
2026-01-05,page_view,/about,10,8
2026-01-05,scroll,/about,3,2
2026-01-06,page_view,/,154,117
2026-01-06,scroll,/,69,40
2026-01-06,page_view,/services/business-website,103,72
2026-01-06,scroll,/services/business-website,52,40
2026-01-06,form_submit,/services/business-website,1,1
2026-01-06,whatsapp_click,/services/business-website,1,1
2026-01-06,page_view,/services/ecommerce-store,85,67
2026-01-06,scroll,/services/ecommerce-store,37,24
2026-01-06,page_view,/services/seo-digital-marketing,96,69
2026-01-06,scroll,/services/seo-digital-marketing,45,27
2026-01-06,page_view,/services/school-management-system,37,27
2026-01-06,scroll,/services/school-management-system,19,14
2026-01-06,page_view,/services/law-firm-management-system,29,22
2026-01-06,scroll,/services/law-firm-management-system,17,11
2026-01-06,page_view,/portfolio,24,14
2026-01-06,scroll,/portfolio,15,10
2026-01-06,page_view,/blog/website-cost-nepal,34,21
2026-01-06,scroll,/blog/website-cost-nepal,19,16
2026-01-06,page_view,/contact,15,10
2026-01-06,scroll,/contact,7,6
2026-01-06,page_view,/about,8,5
2026-01-06,scroll,/about,3,2
2026-01-07,page_view,/,152,122
2026-01-07,scroll,/,60,46
2026-01-07,whatsapp_click,/,1,1
2026-01-07,page_view,/services/business-website,62,41
2026-01-07,scroll,/services/business-website,28,19
2026-01-07,page_view,/services/ecommerce-store,70,44
2026-01-07,scroll,/services/ecommerce-store,35,23
2026-01-07,whatsapp_click,/services/ecommerce-store,1,1
2026-01-07,page_view,/services/seo-digital-marketing,70,61
2026-01-07,scroll,/services/seo-digital-marketing,34,23
2026-01-07,page_view,/services/school-management-system,40,32
2026-01-07,scroll,/services/school-management-system,23,18
2026-01-07,page_view,/services/law-firm-management-system,33,20
2026-01-07,scroll,/services/law-firm-management-system,20,14
2026-01-07,page_view,/portfolio,42,31
2026-01-07,scroll,/portfolio,21,15
2026-01-07,page_view,/blog/website-cost-nepal,37,27
2026-01-07,scroll,/blog/website-cost-nepal,22,12
2026-01-07,page_view,/contact,33,23
2026-01-07,scroll,/contact,16,13
2026-01-07,page_view,/about,7,4
2026-01-07,scroll,/about,2,1
2026-01-08,page_view,/,111,90
2026-01-08,scroll,/,58,33
2026-01-08,page_view,/services/business-website,88,74
2026-01-08,scroll,/services/business-website,43,25
2026-01-08,page_view,/services/ecommerce-store,53,29
2026-01-08,scroll,/services/ecommerce-store,27,23
2026-01-08,whatsapp_click,/services/ecommerce-store,1,1
2026-01-08,page_view,/services/seo-digital-marketing,84,57
2026-01-08,scroll,/services/seo-digital-marketing,45,38
2026-01-08,page_view,/services/school-management-system,39,31
2026-01-08,scroll,/services/school-management-system,17,15
2026-01-08,page_view,/services/law-firm-management-system,29,22
2026-01-08,scroll,/services/law-firm-management-system,14,10
2026-01-08,page_view,/portfolio,35,19
2026-01-08,scroll,/portfolio,14,9
2026-01-08,page_view,/blog/website-cost-nepal,30,17
2026-01-08,scroll,/blog/website-cost-nepal,14,10
2026-01-08,page_view,/contact,18,10
2026-01-08,scroll,/contact,6,3
2026-01-08,page_view,/about,8,6
2026-01-08,scroll,/about,3,1
2026-01-09,page_view,/,114,94
2026-01-09,scroll,/,51,31
2026-01-09,page_view,/services/business-website,60,38
2026-01-09,scroll,/services/business-website,29,21
2026-01-09,page_view,/services/ecommerce-store,93,52
2026-01-09,scroll,/services/ecommerce-store,55,35
2026-01-09,form_submit,/services/ecommerce-store,1,1
2026-01-09,whatsapp_click,/services/ecommerce-store,1,1
2026-01-09,page_view,/services/seo-digital-marketing,63,48
